sourceId,status,dateLastModified,metadata,username,userIds,enabledUser,givenName,familyName,middleName,role,identifier,email,sms,phone,agents,orgs,grades,password
,active,2024-06-17T09:18:09.950Z,,N.Alexander@example.com,"[{'type': 'CA', 'identifier': '8840000007'}]",true,Noelle,Alexander,Yazmin,student,884_STU_88400007,N.Alexander@example.com,,2205553831,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:09.967Z,,K.Nicholson@example.com,"[{'type': 'CA', 'identifier': '8840000008'}]",true,Kaiya,Nicholson,Marely,student,884_STU_88400008,K.Nicholson@example.com,,2035551013,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:10.030Z,,Z.Coleman@example.com,"[{'type': 'CA', 'identifier': '8840000009'}]",true,Zara,Coleman,Campbell,student,884_STU_88400009,Z.Coleman@example.com,,1115554203,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:10.137Z,,Z.Roy@example.com,"[{'type': 'CA', 'identifier': '8840000012'}]",true,Zariah,Roy,Kaiya,student,884_STU_88400012,Z.Roy@example.com,,2765555358,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:10.263Z,,Q.Decker@example.com,"[{'type': 'CA', 'identifier': '8840000015'}]",true,Quintin,Decker,Markus,student,884_STU_88400015,Q.Decker@example.com,,1635552540,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:10.327Z,,A.House@example.com,"[{'type': 'CA', 'identifier': '8840000016'}]",true,Ayaan,House,Bruce,student,884_STU_88400016,A.House@example.com,,1025553652,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:10.387Z,,D.Suarez@example.com,"[{'type': 'CA', 'identifier': '8840000017'}]",true,Denisse,Suarez,Kiera,student,884_STU_88400017,D.Suarez@example.com,,2545554755,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.387Z,,S.Hanson@example.com,"[{'type': 'CA', 'identifier': '8840000018'}]",true,Saige,Hanson,Addisyn,student,884_STU_88400018,S.Hanson@example.com,,2535550025,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:10.467Z,,K.Roach@example.com,"[{'type': 'CA', 'identifier': '8840000020'}]",true,Kristian,Roach,Antony,student,884_STU_88400020,K.Roach@example.com,,1205557248,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.530Z,,S.Singh@example.com,"[{'type': 'CA', 'identifier': '8840000021'}]",true,Saige,Singh,Annabelle,student,884_STU_88400021,S.Singh@example.com,,2895552639,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.577Z,,E.Morse@example.com,"[{'type': 'CA', 'identifier': '8840000022'}]",true,Ellis,Morse,Raul,student,884_STU_88400022,E.Morse@example.com,,1835551317,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:10.637Z,,M.Daniel@example.com,"[{'type': 'CA', 'identifier': '8840000023'}]",true,Marley,Daniel,Brenda,student,884_STU_88400023,M.Daniel@example.com,,2505559124,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:10.700Z,,K.Freeman@example.com,"[{'type': 'CA', 'identifier': '8840000024'}]",true,Kaylee,Freeman,Hailey,student,884_STU_88400024,K.Freeman@example.com,,2005554354,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.763Z,,D.Potts@example.com,"[{'type': 'CA', 'identifier': '8840000025'}]",true,Desmond,Potts,Kellen,student,884_STU_88400025,D.Potts@example.com,,1815558418,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:10.810Z,,J.Branch@example.com,"[{'type': 'CA', 'identifier': '8840000026'}]",true,Jayda,Branch,Angelica,student,884_STU_88400026,J.Branch@example.com,,3085551913,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:10.857Z,,T.Ali@example.com,"[{'type': 'CA', 'identifier': '8840000027'}]",true,Teagan,Ali,Sienna,student,884_STU_88400027,T.Ali@example.com,,1295550773,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.920Z,,A.Weeks@example.com,"[{'type': 'CA', 'identifier': '8840000028'}]",true,Alivia,Weeks,Kaley,student,884_STU_88400028,A.Weeks@example.com,,2255557520,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:10.933Z,,E.Walton@example.com,"[{'type': 'CA', 'identifier': '8840000030'}]",true,Eli,Walton,Quinn,student,884_STU_88400030,E.Walton@example.com,,1225551054,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:10.980Z,,I.Bryan@example.com,"[{'type': 'CA', 'identifier': '8840000032'}]",true,Isabella,Bryan,Rylee,student,884_STU_88400032,I.Bryan@example.com,,2045558672,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.043Z,,J.Reyes@example.com,"[{'type': 'CA', 'identifier': '8840000033'}]",true,Jenna,Reyes,Kailee,student,884_STU_88400033,J.Reyes@example.com,,1065555227,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.107Z,,P.Kelly@example.com,"[{'type': 'CA', 'identifier': '8840000034'}]",true,Phoenix,Kelly,Abram,student,884_STU_88400034,P.Kelly@example.com,,3115554780,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:11.153Z,,K.Carpenter@example.com,"[{'type': 'CA', 'identifier': '8840000035'}]",true,King,Carpenter,Lane,student,884_STU_88400035,K.Carpenter@example.com,,1165555350,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.217Z,,R.Montes@example.com,"[{'type': 'CA', 'identifier': '8840000036'}]",true,Raven,Montes,Maritza,student,884_STU_88400036,R.Montes@example.com,,2935557208,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:11.263Z,,K.Evans@example.com,"[{'type': 'CA', 'identifier': '8840000037'}]",true,Kaydence,Evans,Matilda,student,884_STU_88400037,K.Evans@example.com,,2965551985,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.327Z,,A.Hickman@example.com,"[{'type': 'CA', 'identifier': '8840000038'}]",true,Alia,Hickman,Yaritza,student,884_STU_88400038,A.Hickman@example.com,,2955552925,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:11.370Z,,M.Lambert@example.com,"[{'type': 'CA', 'identifier': '8840000040'}]",true,Maddox,Lambert,Cristofer,student,884_STU_88400040,M.Lambert@example.com,,1855555577,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:11.433Z,,J.Sosa@example.com,"[{'type': 'CA', 'identifier': '8840000042'}]",true,Jocelyn,Sosa,Danna,student,884_STU_88400042,J.Sosa@example.com,,2435554312,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:11.450Z,,A.Carney@example.com,"[{'type': 'CA', 'identifier': '8840000043'}]",true,Alexus,Carney,Khloe,student,884_STU_88400043,A.Carney@example.com,,2215556327,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:11.530Z,,C.Frye@example.com,"[{'type': 'CA', 'identifier': '8840000045'}]",true,Clayton,Frye,Reynaldo,student,884_STU_88400045,C.Frye@example.com,,1975555931,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:11.577Z,,H.Mccormick@example.com,"[{'type': 'CA', 'identifier': '8840000046'}]",true,Haleigh,Mccormick,Jaidyn,student,884_STU_88400046,H.Mccormick@example.com,,1215559052,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.620Z,,A.Cox@example.com,"[{'type': 'CA', 'identifier': '8840000048'}]",true,Albert,Cox,Cason,student,884_STU_88400048,A.Cox@example.com,,1075553219,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:11.683Z,,Z.Yates@example.com,"[{'type': 'CA', 'identifier': '8840000050'}]",true,Zachery,Yates,Zachary,student,884_STU_88400050,Z.Yates@example.com,,2685555792,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.747Z,,L.Cooper@example.com,"[{'type': 'CA', 'identifier': '8840000051'}]",true,Layne,Cooper,Tobias,student,884_STU_88400051,L.Cooper@example.com,,2925556542,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:11.810Z,,C.Mcmillan@example.com,"[{'type': 'CA', 'identifier': '8840000052'}]",true,Catherine,Mcmillan,Beatrice,student,884_STU_88400052,C.Mcmillan@example.com,,2825555952,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:11.857Z,,T.Mercer@example.com,"[{'type': 'CA', 'identifier': '8840000053'}]",true,Tucker,Mercer,Charlie,student,884_STU_88400053,T.Mercer@example.com,,1255553223,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:11.920Z,,M.Fuller@example.com,"[{'type': 'CA', 'identifier': '8840000055'}]",true,Maia,Fuller,Sasha,student,884_STU_88400055,M.Fuller@example.com,,1505555707,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:12.030Z,,K.Wood@example.com,"[{'type': 'CA', 'identifier': '8840000057'}]",true,Karlee,Wood,Rayna,student,884_STU_88400057,K.Wood@example.com,,2235556526,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:12.043Z,,C.Wilcox@example.com,"[{'type': 'CA', 'identifier': '8840000058'}]",true,Chloe,Wilcox,Charlee,student,884_STU_88400058,C.Wilcox@example.com,,2135558288,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.090Z,,C.Duarte@example.com,"[{'type': 'CA', 'identifier': '8840000060'}]",true,Cael,Duarte,Justus,student,884_STU_88400060,C.Duarte@example.com,,1285559759,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:12.153Z,,M.Cain@example.com,"[{'type': 'CA', 'identifier': '8840000061'}]",true,Madyson,Cain,Mina,student,884_STU_88400061,M.Cain@example.com,,1415556997,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:12.217Z,,C.Sosa@example.com,"[{'type': 'CA', 'identifier': '8840000062'}]",true,Cassie,Sosa,Laylah,student,884_STU_88400062,C.Sosa@example.com,,2005559367,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.263Z,,C.Flores@example.com,"[{'type': 'CA', 'identifier': '8840000063'}]",true,Ciara,Flores,Samara,student,884_STU_88400063,C.Flores@example.com,,3065550257,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:12.327Z,,D.Randall@example.com,"[{'type': 'CA', 'identifier': '8840000065'}]",true,Daniella,Randall,Eliza,student,884_STU_88400065,D.Randall@example.com,,2135556760,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.370Z,,J.Curry@example.com,"[{'type': 'CA', 'identifier': '8840000066'}]",true,Jesus,Curry,Davion,student,884_STU_88400066,J.Curry@example.com,,1385551802,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:12.433Z,,M.Mosley@example.com,"[{'type': 'CA', 'identifier': '8840000069'}]",true,Madelyn,Mosley,Alyvia,student,884_STU_88400069,M.Mosley@example.com,,2725558299,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.530Z,,T.Wilkins@example.com,"[{'type': 'CA', 'identifier': '8840000074'}]",true,Tiffany,Wilkins,Naima,student,884_STU_88400074,T.Wilkins@example.com,,2515554800,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:12.543Z,,D.Shaw@example.com,"[{'type': 'CA', 'identifier': '8840000075'}]",true,Dalia,Shaw,Emery,student,884_STU_88400075,D.Shaw@example.com,,1965550099,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.560Z,,A.Osborne@example.com,"[{'type': 'CA', 'identifier': '8840000076'}]",true,Adyson,Osborne,Myla,student,884_STU_88400076,A.Osborne@example.com,,2035556932,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.607Z,,S.Bird@example.com,"[{'type': 'CA', 'identifier': '8840000077'}]",true,Sanaa,Bird,Patience,student,884_STU_88400077,S.Bird@example.com,,1145555681,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.670Z,,S.Lambert@example.com,"[{'type': 'CA', 'identifier': '8840000078'}]",true,Sanaa,Lambert,Kendra,student,884_STU_88400078,S.Lambert@example.com,,2015552707,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.717Z,,C.Frye@example.com,"[{'type': 'CA', 'identifier': '8840000079'}]",true,Cloe,Frye,Paloma,student,884_STU_88400079,C.Frye@example.com,,1025553963,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.793Z,,M.Williams@example.com,"[{'type': 'CA', 'identifier': '8840000082'}]",true,Mitchell,Williams,Jaydan,student,884_STU_88400082,M.Williams@example.com,,2235552667,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:12.840Z,,G.Gallagher@example.com,"[{'type': 'CA', 'identifier': '8840000083'}]",true,Gerardo,Gallagher,Jalen,student,884_STU_88400083,G.Gallagher@example.com,,1085559591,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.887Z,,R.Yu@example.com,"[{'type': 'CA', 'identifier': '8840000084'}]",true,Reece,Yu,Brendan,student,884_STU_88400084,R.Yu@example.com,,2055557225,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:12.967Z,,Z.Stafford@example.com,"[{'type': 'CA', 'identifier': '8840000085'}]",true,Zane,Stafford,Emilio,student,884_STU_88400085,Z.Stafford@example.com,,1785555291,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.013Z,,D.Scott@example.com,"[{'type': 'CA', 'identifier': '8840000086'}]",true,Darien,Scott,Maverick,student,884_STU_88400086,D.Scott@example.com,,2135553951,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.030Z,,S.Rivas@example.com,"[{'type': 'CA', 'identifier': '8840000087'}]",true,Shamar,Rivas,Jayden,student,884_STU_88400087,S.Rivas@example.com,,2095559750,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:13.090Z,,A.Wyatt@example.com,"[{'type': 'CA', 'identifier': '8840000089'}]",true,Alina,Wyatt,Yaretzi,student,884_STU_88400089,A.Wyatt@example.com,,2315557118,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.153Z,,W.Hunt@example.com,"[{'type': 'CA', 'identifier': '8840000090'}]",true,Whitney,Hunt,Eden,student,884_STU_88400090,W.Hunt@example.com,,1225551857,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.247Z,,D.Irwin@example.com,"[{'type': 'CA', 'identifier': '8840000092'}]",true,Deja,Irwin,Kaiya,student,884_STU_88400092,D.Irwin@example.com,,1275559534,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.310Z,,C.Hudson@example.com,"[{'type': 'CA', 'identifier': '8840000093'}]",true,Cordell,Hudson,Adam,student,884_STU_88400093,C.Hudson@example.com,,2385555802,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:13.370Z,,S.Payne@example.com,"[{'type': 'CA', 'identifier': '8840000094'}]",true,Shaylee,Payne,Adalynn,student,884_STU_88400094,S.Payne@example.com,,1275550240,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.420Z,,O.Hickman@example.com,"[{'type': 'CA', 'identifier': '8840000095'}]",true,Orlando,Hickman,Jaylen,student,884_STU_88400095,O.Hickman@example.com,,2005555719,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.480Z,,R.Grimes@example.com,"[{'type': 'CA', 'identifier': '8840000096'}]",true,Rishi,Grimes,Jaidyn,student,884_STU_88400096,R.Grimes@example.com,,1385553298,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.530Z,,C.Bates@example.com,"[{'type': 'CA', 'identifier': '8840000097'}]",true,Callie,Bates,Kiley,student,884_STU_88400097,C.Bates@example.com,,1045558894,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.590Z,,R.Bauer@example.com,"[{'type': 'CA', 'identifier': '8840000098'}]",true,Randy,Bauer,Tony,student,884_STU_88400098,R.Bauer@example.com,,1675551138,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:13.653Z,,A.Mckinney@example.com,"[{'type': 'CA', 'identifier': '8840000099'}]",true,Adrian,Mckinney,Alonzo,student,884_STU_88400099,A.Mckinney@example.com,,1695557222,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.700Z,,Z.Austin@example.com,"[{'type': 'CA', 'identifier': '8840000100'}]",true,Zackary,Austin,Skylar,student,884_STU_88400100,Z.Austin@example.com,,,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
,active,2024-06-17T09:18:13.750Z,,N.Hooper@example.com,"[{'type': 'CA', 'identifier': '8840000102'}]",true,Nancy,Hooper,Emery,student,884_STU_88400102,N.Hooper@example.com,,2095550124,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:13.810Z,,G.Navarro@example.com,"[{'type': 'CA', 'identifier': '8840000103'}]",true,Garrett,Navarro,Aden,student,884_STU_88400103,G.Navarro@example.com,,2735554569,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:13.890Z,,A.Barry@example.com,"[{'type': 'CA', 'identifier': '8840000106'}]",true,Alicia,Barry,Kylee,student,884_STU_88400106,A.Barry@example.com,,2945557772,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:13.950Z,,E.Charles@example.com,"[{'type': 'CA', 'identifier': '8840000107'}]",true,Emilio,Charles,Deandre,student,884_STU_88400107,E.Charles@example.com,,1645555131,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:13.967Z,,P.Pham@example.com,"[{'type': 'CA', 'identifier': '8840000108'}]",true,Pablo,Pham,Josiah,student,884_STU_88400108,P.Pham@example.com,,1265551831,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:14.013Z,,C.Valdez@example.com,"[{'type': 'CA', 'identifier': '8840000109'}]",true,Cory,Valdez,David,student,884_STU_88400109,C.Valdez@example.com,,1555557897,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:14.077Z,,J.Petty@example.com,"[{'type': 'CA', 'identifier': '8840000110'}]",true,Jett,Petty,Marcelo,student,884_STU_88400110,J.Petty@example.com,,1445550039,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['12'],
,active,2024-06-17T09:18:14.093Z,,A.Tapia@example.com,"[{'type': 'CA', 'identifier': '8840000111'}]",true,Aldo,Tapia,Luke,student,884_STU_88400111,A.Tapia@example.com,,1005550984,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['09'],
,active,2024-06-17T09:18:14.153Z,,E.Bolton@example.com,"[{'type': 'CA', 'identifier': '8840000113'}]",true,Erika,Bolton,Magdalena,student,884_STU_88400113,E.Bolton@example.com,,2305555304,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['10'],
,active,2024-06-17T09:18:14.263Z,,H.Kane@example.com,"[{'type': 'CA', 'identifier': '8840000115'}]",true,Humberto,Kane,Gauge,student,884_STU_88400115,H.Kane@example.com,,1505554354,[],"[{'href': '~/ims/oneroster/v1p1/orgs/884', 'sourcedId': '884', 'type': 'org'}]",['11'],
